Source,Originating Lab,Address,Authors
Tempus,Tempus,"600 W Chicago Ave. Ste 510, Chicago, IL 60654","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Matthew J. MacKay, Gaurav Khullar, Jessica Metti, Joel T. Dudley, Megan Nash, Nike Beaubier, Christopher E. Mason, Nathan Grubaugh"
Connecticut DPH,Connecticut DPH,"395 West St, Rocky Hill, CT 06067, USA","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Anthony Muyombwe, Randy Downing, Jafar Razeq, Stephen M. Bart, Nathan Grubaugh"
Yale Clinical Virology Lab,Yale Clinical Virology Lab,"330 Cedar Street, PO Box 208035, New Haven, CT 06520-8035","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Marie L. Landry, Nathan Grubaugh"
Murphy Medical Association,Murphy Medical Association,"1 East Putnam Ave, Greenwich, CT 06830","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Caleb Neal, Eva Laszlo, Steven Murphy, Nathan Grubaugh"
Yale Pathology Lab,Yale Pathology Lab,"310 Cedar St, New Haven, CT 06510","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Jianhui Wang, Chen Liu, Pei Hui, Nathan Grubaugh"
VA Hospital,VA Connecticut Healthcare System,"950 Campbell Avenue, West Haven, CT 06516","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Shaili Gupta, Danielle Plank, Nathan Grubaugh"
IMTSAG,Instituto de Medicina Tropical & Salud Global Universidad Iberoamericana,"Ave. Francia 129, Gascue, Santo Domingo, 22333, Dominican Republic","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Robert Paulino-Ramirez, Alejandaro Vallejo Degaudenzi, Victor Virgilio Calderon, Elisa Contreras, Esperanza Mendoza, Nathan Grubaugh"
ORNL,Oak Ridge, ,"Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Daniel Jones, Nathan Grubaugh"
VIDOH,VIDOH (Virgin Islands Department of Health),"1303 Hospital Ground Suite 10, Charlotte Amalie, St. Thomas, VI 00802","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Jendai Richards, TaLesa Aderohunmu, Esther Ellis, Marlon Lawrence, Brett Ellis, Nathan Grubaugh"
Iwasaki Lab,Iwasaki Lab,None,None
UCC,UCC (Universidad Central del Caribe),"Ave. Laurel, Santa Juanita, PO BOX 60327, Bayamon, Puerto Rico 00960-6032","Joseph Fauver, Mallery Breban, Isabel Ott, Tara Alpert, Mary Petrone, Anderson Brito, Chantal Vogels, Annie Watkins, Chaney Kalinich, Jessica Rothman, Kendall Billig, Tobias Koch, Fabiola Cruz-Lopez, David Rivera Aponte, Fabiola Fontanet, Natalie Machargo, Andrea Firpo, Vianca Aponte, Ernesto Vazquez, Patricia Serrano, Tania Mitwalli, Karolane Gonzalez, Nathan Grubaugh"